Id_day;Period;BE;DE;FR;NL;RAM_0
1;23;-0.1518;0.02273;-0.07134;-0.23785;773.3566
1;23;0;-0.05653;-0.15692;0;240.7369
1;23;-0.24636;0.01178;-0.08443;-0.23129;717.6289
1;23;0;-0.06976;-0.15346;0;241.1648
1;23;-0.0021;-0.07332;-0.21335;0;327.2036
1;23;0.0069;-0.06713;-0.14859;0;240.8749
1;23;-0.06023;-0.06553;-0.20189;0;327.3069
1;23;0.1038;-0.01127;0.05384;-0.32995;1902.0436
1;23;-0.16149;-0.09319;-0.17115;0;326.8387
1;23;-0.06435;0.00235;-0.0113;0.04529;274.4062
1;24;0;-0.09819;-0.21164;0;333.4887
1;24;0.13467;-0.00974;0.06447;-0.14626;1055.8604
1;24;-0.1038;0.00828;-0.05389;0.31156;884.1144
1;24;-0.1518;0.01775;-0.0714;-0.23689;864.7528
1;24;-0.06435;0.00185;-0.01124;0.04754;300.6637
1;24;-0.15713;-0.09683;-0.17551;0;332.8559
1;24;-0.06225;-0.06925;-0.20475;0;333.3025
1;24;0;0;0;-1;5000
1;24;0;-0.0759;-0.21746;0;332.507
1;24;0.14986;-0.01286;0.08558;-0.16079;1154.9411
1;24;-0.24636;0.01364;-0.08475;-0.23348;722.7224
1;24;0.17212;-0.01436;0.09553;-0.16282;1229.0842
1;24;-0.06001;-0.09939;-0.19739;0;333.1647
1;24;0.0832;0.00346;-0.01674;0.03267;316.1133
1;24;0.00306;-0.05332;-0.14469;0;226.6036
1;24;0.07043;-0.00237;0.04122;0.22489;541.6398
1;24;0.05548;0.01245;-0.04148;0.03388;155.2139
1;24;-1;0;0;0;4500
1;24;0.002;-0.05513;-0.15793;0;245.1149
1;24;0.12226;-0.0102;0.06803;-0.14804;1026.2168
1;24;-0.15633;-0.06385;-0.18432;0;332.7605
1;24;0;0;1;0;4001
1;24;-0.24675;0.0159;-0.10306;0.04485;817.1835
1;24;0;-1;0;0;4400
1;24;0.00427;-0.07034;-0.15213;0;245.0082
2;1;0.18164;0.00233;0.25444;0.0576;1139.61825
2;1;0.11885;0.05347;0.06704;0.13045;151.0755
2;1;-0.05144;-0.08849;-0.20476;0;336.78775
2;1;-0.15324;0.00246;-0.08374;-0.23784;761.0075
2;1;0.06051;0.02841;0.01483;0.09326;145.37875
2;1;-0.27751;-0.01973;-0.11758;-0.27161;1063.297
2;1;0.17904;-0.00629;-0.14278;0.08789;741.6455
2;1;0;-1;0;0;4400
2;1;-0.01676;0.03106;-0.02573;0.03529;104.89425
2;1;-0.06607;0.0052;-0.03833;-0.22538;868.7645
2;1;-1;0;0;0;4500
2;1;0;0;0;-1;4250
2;1;-0.16557;0.00251;-0.0864;-0.25258;806.37725
2;1;0;0;1;0;3351
2;1;0.21187;0.00553;0.12061;-0.14469;1275.7555
2;1;-0.01425;0.02105;-0.01984;0.0256;78.88625
2;1;-0.00795;0.03485;-0.01804;0.04117;101.842
2;1;-0.28015;-0.00832;-0.12697;0.03025;930.03575
2;1;-0.0799;-0.08933;-0.19792;0;336.76675
2;1;-0.11953;-0.08872;-0.18885;0;336.782
2;1;-0.10335;0.0035;-0.05772;0.26015;751.58375
2;1;0.09283;0.04465;0.04709;0.11224;129.31025
2;1;-0.03784;-0.08631;-0.20851;0;336.84225
2;2;0.11885;0.05347;0.06721;0.13097;153.0625
2;2;0;0;0;-1;4250
2;2;-1;0;0;0;4500
2;2;0;0;1;0;3351
2;2;-0.15325;0.00246;-0.08393;-0.23631;786.96925
2;2;0.00067;0.04397;-0.01059;0.052;107.79925
2;2;-0.07095;-0.08465;-0.20236;0;338.88375
2;2;-0.27752;-0.01973;-0.11797;-0.27453;1088.37
2;2;-0.07372;-0.08527;-0.20155;0;338.86825
2;2;0.16235;0.0046;0.10799;-0.13818;1056.5695
2;2;0.18165;0.00233;0.25491;0.0583;1148.60075
2;2;0.21188;0.00553;0.12088;-0.14667;1186.805
2;2;-0.28015;-0.00832;-0.12747;0.02994;947.0435
2;2;-0.09221;-0.08544;-0.1972;0;338.864
2;2;0.00242;0.04945;-0.00993;0.05703;114.8105
2;2;0;-1;0;0;4400
2;2;0.17903;-0.00629;-0.14252;0.08884;858.62175
2;2;0.06051;0.02841;0.01493;0.09324;145.37925
2;2;-0.16557;0.00251;-0.08661;-0.25117;830.342
2;2;-0.0812;-0.08543;-0.19977;0;338.86425
2;2;-0.10335;0.0035;-0.05784;0.27182;777.292
2;2;0.07613;-0.00203;-0.02161;0.02471;348.3315
2;2;0.14703;0.05417;0.14935;0.09421;471.999
2;2;0.09283;0.04465;0.04722;0.1125;129.30375
2;3;-0.10335;0.0035;-0.05792;0.26824;769.3815
2;3;0.00067;0.04397;-0.01059;0.05222;108.79375
2;3;0;0;0;-1;4250
2;3;-0.28015;-0.00832;-0.12759;0.02993;1007.04375
2;3;-1;0;0;0;4500
