"Date" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34"
2018-05-09 9 10 11 9 10 9 10 9 10 9 11 9 9 11 10 11 9 11 9 11 9 10 9 11 10 9 10 10 10 9 9 10 9 9
2018-05-10 10 11 9 9 10 10 11 10 10 11 9 9 10 10 9 11 10 10 10 11 10 10 9 11 10 11 11 10 11 11 9 11 10 9
2018-05-11 10 11 10 9 10 9 11 10 10 10 11 9 11 10 11 11 10 10 10 11 11 10 11 10 10 11 11 9 10 10 9 10 9 11
2018-05-12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-05-13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
2018-05-14 10 11 11 9 10 11 9 11 11 10 9 11 11 11 10 11 9 11 9 10 11 9 11 11 10 11 10 9 9 10 10 10 11 10
2018-05-15 10 11 11 11 10 9 11 11 10 9 9 9 11 11 10 9 11 10 10 11 11 11 11 10 10 11 10 10 11 11 9 9 11 10
2018-05-16 1 3 1 1 1 2 1 1 1 2 1 3 1 1 1 1 1 1 1 2 1 1 1 3 1 3 1 1 2 2 2 1 1 1
2018-05-17 1 1 1 1 1 1 1 1 3 2 1 1 1 2 1 1 1 1 1 2 1 2 3 1 1 1 1 1 2 2 2 1 1 3
2018-05-18 1 3 1 1 1 1 1 1 1 1 1 1 3 2 2 1 1 1 1 2 1 1 1 1 2 3 1 1 2 3 2 1 3 3
2018-05-19 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-05-20 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-05-21 2 2 2 3 2 3 1 2 2 2 3 1 1 1 2 3 1 2 2 1 1 2 1 1 1 1 2 2 3 2 1 2 1 2
2018-05-22 2 1 2 2 3 2 3 2 1 2 1 1 1 2 1 2 1 2 2 3 1 2 1 2 1 1 1 1 3 1 1 1 2 1
2018-05-23 3 3 2 2 2 2 1 2 1 2 1 2 2 1 3 2 2 3 2 1 2 1 2 1 1 2 2 1 3 1 1 2 2 2
2018-05-24 1 2 1 2 3 1 1 2 1 1 1 3 1 2 1 2 2 2 1 1 2 1 1 1 2 1 1 1 1 2 2 2 2 2
2018-05-25 1 2 1 2 3 3 1 1 1 1 3 1 2 3 1 1 2 2 1 1 2 2 3 3 2 1 3 2 2 1 1 2 3 1
2018-05-26 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-05-27 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-05-28 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 2 2 1 1 1 1 1 2 1 1 2 1 1 1 1 2 1
2018-05-29 1 1 2 2 2 1 1 3 1 3 1 2 1 3 1 1 2 2 2 2 2 3 3 1 1 2 2 2 3 2 1 2 2 2
2018-05-30 2 1 1 1 2 3 2 1 1 1 3 3 1 2 3 2 2 2 2 2 1 1 3 3 1 2 2 1 2 1 1 2 1 1
2018-05-31 1 1 2 1 1 3 1 1 1 3 1 2 2 2 1 1 1 1 2 1 1 2 3 3 2 1 2 2 2 3 1 1 3 2
2018-06-01 1 3 2 3 2 1 2 2 3 3 3 2 3 1 3 2 1 1 3 1 2 1 3 3 2 1 1 1 2 2 1 2 1 1
2018-06-02 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-06-03 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-06-04 2 1 2 1 2 2 1 1 1 2 3 3 2 1 1 1 3 2 2 2 1 3 3 2 2 1 1 2 1 2 2 3 1 1
2018-06-05 1 1 2 1 2 1 2 1 3 1 3 2 2 1 3 1 1 2 1 1 2 2 3 2 1 1 1 3 2 2 1 3 1 1
2018-06-06 2 1 1 3 2 3 2 2 1 2 2 3 1 1 3 1 2 2 1 3 2 2 3 1 1 1 1 1 1 2 3 1 3 1
2018-06-07 2 1 3 2 2 2 3 2 3 1 2 1 1 1 2 1 1 1 2 2 2 3 1 2 2 2 2 1 2 2 1 3 2 1
2018-06-08 2 1 2 3 2 3 2 1 2 3 1 1 1 1 1 1 3 1 2 1 1 2 1 3 1 2 1 3 1 3 3 1 1 1
2018-06-09 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-06-10 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-06-11 3 1 1 1 3 3 3 1 1 2 2 3 1 2 1 3 3 1 2 1 2 1 3 3 2 2 1 2 3 3 3 1 1 3
2018-06-12 2 2 3 2 3 1 1 3 1 2 2 3 1 2 2 1 3 3 1 2 1 3 2 3 2 2 1 3 2 1 2 2 2 1
2018-06-13 2 3 3 2 3 1 1 1 1 2 1 3 1 1 2 2 1 3 1 1 1 1 1 1 1 1 2 1 1 2 3 3 1 1
2018-06-14 1 3 2 1 3 3 1 1 2 2 2 3 2 3 3 1 1 3 3 1 1 3 3 1 2 3 1 2 2 2 2 3 1 1
2018-06-15 3 2 2 2 3 2 1 2 2 3 3 1 2 3 3 3 1 3 2 3 1 1 3 1 2 1 1 2 3 2 1 1 3 1
2018-06-16 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-06-17 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-06-18 1 1 1 1 1 1 2 2 2 3 2 3 1 2 1 3 3 1 1 3 1 1 3 2 1 1 3 3 1 2 1 2 1 3
2018-06-19 3 3 3 3 1 2 1 1 1 1 3 3 2 3 2 1 1 1 1 1 1 2 1 1 3 3 3 2 2 1 1 2 2 2
2018-06-20 1 2 2 2 2 3 2 1 2 2 2 1 2 1 3 2 1 1 3 3 2 2 3 1 1 1 2 1 2 1 1 3 2 2
2018-06-21 1 3 3 1 1 1 1 1 3 3 2 2 1 2 2 3 1 2 2 2 3 2 1 2 2 1 1 1 1 2 1 2 1 2
2018-06-22 2 1 1 1 1 3 1 2 2 1 3 1 2 2 2 2 2 1 1 3 2 1 3 1 3 2 2 3 1 1 1 3 3 1
2018-06-23 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-06-24 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
2018-06-25 2 1 2 1 1 1 3 1 1 1 3 3 2 3 3 1 3 2 1 1 3 2 2 1 3 3 1 3 3 2 2 3 2 2
2018-06-26 3 1 2 2 1 3 1 1 2 2 1 3 3 1 2 1 1 1 1 1 1 1 2 1 2 2 1 1 3 1 2 1 1 2
2018-06-27 1 3 3 1 2 2 1 2 3 2 1 1 2 1 2 2 2 2 2 2 2 1 2 2 2 1 1 1 1 3 2 2 1 1
2018-06-28 3 2 3 3 1 2 1 2 2 2 1 1 1 3 2 3 1 1 2 2 1 1 1 1 1 2 2 2 2 1 1 3 1 1
